Movie,Box_office_crores,Budget_crores,Certificate,Release_Date,Run_time_mins,Director,Producer,Lead_Actor1,Lead_Actor2,Lead_Actor3,Genre1,Genre2,Genre3
sanju,334,96,U/A,12-Apr-19,161,Rajkumar Hirani,Rajkumar Hirani,Anushka Sharma,Sonam Kapoor,Ranbir Kapoor,Biography,Drama,NA
3-idiots,201,77,U/A,24-Dec-09,171,Rajkumar Hirani,Vidhu Vinod Chopra,Aamir Khan,R Madhavan,Kareena Kapoor Khan,Adventure,Comedy,Drama
black-friday,4,4,U/A,9-Feb-07,143,Anurag Kashyap,Arindam Mitra,Kay Kay Menon,Nawazuddin Siddiqui,Kishore Kadam,Action,Crime,Drama
andhadhun,73,32,U/A,5-Oct-18,139,Sriram Raghavan,Sanjay Routray,Tabu Hashmi,Ayushmann Khurrana,Radhika Apte,Comedy,Romance,Thriller
rang-de-basanti,53,28,U/A,26-Jan-06,171,Rakeysh Omprakash Mehra,David Reid,Aamir Khan,Siddharth Narayan,R Madhavan,Comedy,Drama,History
bhaag-milkha-bhaag,109,53,U,11-Jul-13,187,Rakeysh Omprakash Mehra,Rakeysh Omprakash Mehra,Sonam Kapoor,Prakash Raj,Farhan Akhtar,Biography,Drama,History
uri-the-surgical-strike,342,25,U/A,11-Jan-19,138,Aditya Dhar,Ronnie Screwvala,Yami Gautam,Kirti Kulhari,Vicky Kaushal,Action,Drama,War
gangs-of-wasseypur,27,9,A,2-Aug-12,160,Anurag Kashyap,Anurag Kashyap,Richa Chadda,Manoj Bajpayee,Rajkummar Rao,Action,Crime,Drama
tumbbad,12,15,A,12-Oct-18,104,Rahi Anil Barve,Aanand L Rai,Anita Date,Mohd Samad,Sohum Shah,Thriller,Horror,Mystery
nil-battey-sannata,5,7,U,22-Apr-16,100,Ashwini Iyer Tiwari,Ajay Rai,Ria Shukla,Neha Prajapati,Prashant Tiwari,Drama,Family,NA
lage-raho-munna-bhai,74,19,U,1-Sep-06,145,Rajkumar Hirani,Vidhu Vinod Chopra,Vidya Balan,Sanjay Dutt,Abhishek Bachchan,Comedy,Drama,Fantasy
dil-chahta-hai1,20,14,U,10-Aug-01,183,Farhan Akhtar,Farhan Akhtar,Aamir Khan,Saif Ali Khan,Akshaye Khanna,Comedy,Drama,Romance
zindagi-na-milegi-dobara,89,60,U,15-Jul-11,146,Zoya Akhtar,Farhan Akhtar,Hrithik Roshan,Katrina Kaif,Naseeruddin Shah,Adventure,Comedy,Drama
pk,337,122,U/A,18-Dec-14,153,Rajkumar Hirani,Vidhu Vinod Chopra,Sushant Singh Rajput,Anushka Sharma,Aamir Khan,Comedy,Drama,Fantasy
omkara,23,26,A,28-Jul-06,150,Vishal Bhardwaj,Kumar Mangat Pathak,Ajay Devgan,Saif Ali Khan,Kareena Kapoor Khan,Action,Crime,Drama
dilwale-dulhania-le-jayenge,53,4,U,20-Oct-95,192,Aditya Chopra,Yash Chopra,Kajol Devgn,Shah Rukh Khan,Anupam Kher,Comedy,Drama,Musical
haider,49,48,U/A,2-Oct-14,162,Vishal Bhardwaj,Vishal Bhardwaj,Shahid Kapoor,Shraddha Kapoor,Irrfan Khan,Action,Crime,Drama
article-151,65,30,U/A,27-Jun-19,130,Anubhav Sinha,Anubhav Sinha,Ayushmann Khurrana,Sayani Gupta,Mohammed Zeeshan Ayyub,Crime,Drama,Thriller
chhichhore,147,53,U/A,6-Sep-19,135,Nitesh Tiwari,Sajid Nadiadwala,Sushant Singh Rajput,Shraddha Kapoor,Tahir Raj Bhasin,Drama,Comedy,NA
swades-we-the-people,16,22,U,17-Dec-04,194,Ashutosh Gowariker,Ashutosh Gowariker,Shah Rukh Khan,Gayatri Joshi,Bharath Gopi,Drama,Family,Romance
talvar,30,17,U/A,1-Oct-15,132,Meghna Gulzar,Vishal Bhardwaj,Irrfan Khan,Tabu Hashmi,Konkona Sen Sharma,Biography,Crime,Drama
barfi,105,50,U,14-Sep-12,150,Anurag Basu,Anurag Basu,Ileana D'cruz,Priyanka Chopra,Ranbir Kapoor,Adventure,Comedy,Drama
shahid,1,6,A,18-Oct-13,129,Hansal Mehta,Anurag Kashyap,Rajkummar Rao,Kay Kay Menon,Mohammed Zeeshan Ayyub,Biography,Crime,Drama
masaan,3,8,A,24-Jul-15,109,Neeraj Ghaywan,Anurag Kashyap,Richa Chadda,Vicky Kaushal,Niharika Raizada,Drama,Romance,Crime
drishyam1,68,62,U/A,30-Jul-15,163,Nishikant Kamat,Abhishek Pathak,Ajay Devgan,Tabu Hashmi,Shriya Saran,Crime,Drama,Mystery
paan-singh-tomar,14,7,U/A,2-Mar-12,134,Tigmanshu Dhulia,Ronnie Screwvala,Irrfan Khan,Hemendra Dandotiya,Jhakkad Guru,Action,Biography,Crime
kal-ho-naa-ho,38,28,U,28-Nov-03,188,Nikhil Advani,Karan Johar,Ron Reid Jr,Rani Mukerji,Saif Ali Khan,Comedy,Drama,Romance
gully-boy,134,84,U/A,14-Feb-19,153,Zoya Akhtar,Farhan Akhtar,Ranveer Singh,Alia Bhatt,Kalki Koechlin,Adventure,Comedy,Drama
bajrangi-bhaijaan,315,125,U/A,17-Jul-15,159,Kabir Khan,Sunil Lulla,Salman Khan,Kareena Kapoor Khan,Shahnawaz Bhat,Action,Adventure,Comedy
omg-oh-my-god,122,20,U,28-Sep-12,132,Umesh Shukla,Ashvini Yardi,Akshay Kumar,Sonakshi Sinha,Mithun Chakraborty,Comedy,Drama,Family
company,13,9,A,15-Apr-02,151,Ram Gopal Varma,Ram Gopal Varma,Mohanlal Viswanathan,Ajay Devgan,Manisha Koirala,Action,Crime,Drama
kahaani,57,20,U/A,8-Mar-12,122,Sujoy Ghosh,Sujoy Ghosh,Parambrata Chatterjee,Vidya Balan,Saurav Das,Drama,Mystery,Thriller
maqbool,2,3,A,30-Jan-04,138,Vishal Bhardwaj,Bobby Bedi,Irrfan Khan,Tabu Hashmi,Naseeruddin Shah,Crime,Drama,Thriller
section-3751,10,17,U/A,13-Sep-19,135,Ajay Bahl,Bhushan Kumar,Rahul Bhat,Vibhawari Deshpande,Kruttika Desai,Drama,Crime,NA
pink-iii,65,29,U/A,16-Sep-16,136,Aniruddha Roy Chowdhury,Shoojit Sircar,Amitabh Bachchan,Andrea Tariang,Taapsee Pannu,Crime,Drama,Thriller
a-wednesday,11,3,U/A,5-Sep-08,104,Neeraj Pandey,Ronnie Screwvala,Jimmy Shergill,Naseeruddin Shah,Anupam Kher,Crime,Drama,Mystery
my-name-is-khan,72,85,U/A,12-Feb-10,161,Karan Johar,Gauri Khan,Kajol Devgn,Shah Rukh Khan,Jimmy Shergill,Adventure,Drama,Romance
airlift,123,68,U/A,22-Jan-16,124,Raja Krishna Menon,Bhushan Kumar,Akshay Kumar,Nimrat Kaur,Prakash Belawadi,Action,Adventure,Drama
padman,191,20,U/A,9-Feb-18,119,R. Balki,Twinkle Khanna,Sonam Kapoor,Akshay Kumar,Amitabh Bachchan,Biography,Comedy,Drama
veer-zaara,97,23,U,12-Nov-04,197,Yash Chopra,Aditya Chopra,Rani Mukerji,Amitabh Bachchan,Shah Rukh Khan,Drama,Family,Musical
raazi,122,38,U/A,10-May-18,140,Meghna Gulzar,Karan Johar,Alia Bhatt,Lovely Sidhu,Vicky Kaushal,Crime,Drama,Thriller
ugly,6,6,A,26-Dec-14,127,Anurag Kashyap,Anurag Kashyap,Alia Bhatt,Rahul Bhat,Surveen Chawla,Crime,Drama,Mystery
secret-superstar,62,45,U/A,18-Oct-17,150,Advait Chandan,Aamir Khan,Aamir Khan,Zaira Wasim,Nikita Anand,Action,Adventure,Comedy
baby-i,81,75,U/A,23-Jan-15,160,Neeraj Pandey,Bhushan Kumar,Akshay Kumar,Anupam Kher,Sandeep Bharadwaj,Action,Adventure,Thriller
laal-rang,1,10,U/A,22-Apr-16,150,Syed Ahmed Afzal,Nitika Thakur,Randeep Hooda,Piaa Bajpai,Rajniesh Duggall,Action,Crime,Drama
mukkabaaz,10,12,U/A,12-Jan-18,155,Anurag Kashyap,Anurag Kashyap,Jimmy Shergill,Nawazuddin Siddiqui,Ravi Kishan Shukla,Action,Drama,Sport
ankhon-dekhi,0.81,4,U,21-Mar-14,107,Rajat Kapoor,Manish Mundra,Chandrachoor Rai,Seema Pahwa,Rajat Kapoor,Comedy,Drama,NA
special-chabbis,65,50,U/A,7-Feb-13,144,Neeraj Pandey,Kumar Mangat Pathak,Kajal Aggarwal,Akshay Kumar,Jimmy Shergill,Crime,Drama,History
i-am-kalam,1,2,U,13-Mar-11,88,Nila Madhab Panda,Santanu Mishra,Harsh Mayar,Suresh Acharya,Samarth Shandilya,Comedy,Drama,Family
devd,15,11,A,6-Feb-09,144,Anurag Kashyap,Ronnie Screwvala,Abhay Deol,Mahie Gill,Kalki Koechlin,Comedy,Drama,Romance
super-30,147,120,U,12-Jul-19,155,Kabir Khan,Madhu Mantena,Vikas Bahl,Hrithik Roshan,Katrina Kaif,Biography,Drama,NA
vicky-donor,41,10,U/A,19-Apr-12,122,Shoojit Sircar,Sunil Lulla,John Abraham,Ayushmann Khurrana,Siddharth Bharadwaj,Comedy,Romance,NA
ms-dhoni-the-untold-story,216,104,U,29-Sep-16,185,Neeraj Pandey,Arun Pandey,Sushant Singh Rajput,Aamir Khan,Bhoomika Chawla,Biography,Drama,Sport
udta-punjab,58,47,A,17-Jun-16,148,Abhishek Chaubey,,Shahid Kapoor,Alia Bhatt,Kareena Kapoor Khan,Action,Crime,Drama
ab-tak-chhappan,8,4,A,27-Feb-04,129,Shimit Amin,Ram Gopal Varma,Nana Patekar,Mohan Agashe,Revathi,Crime,Drama,Thriller
dor,2,3,U,22-Sep-06,124,Nagesh Kukunoor,Elahe Hiptoola,Gul Panag,Ayesha Takia,Girish Karnad,Drama,NA,NA
rockstar,68,66,U,11-Nov-11,147,Imtiaz Ali,Sunil Lulla,Ranbir Kapoor,Shammi Kapoor,Nargis Fakhri,Drama,Musical,Romance
jab-we-met,31,15,U,26-Oct-07,144,Imtiaz Ali,Dhilin Mehta,Shahid Kapoor,Kareena Kapoor Khan,Tarun Arora,Comedy,Drama,Romance
sonchiriya-m,5,28,A,1-Mar-19,145,Abhishek Chaubey,Ronnie Screwvala,Bhumi Pednekar,Sushant Singh Rajput,Manoj Bajpayee,Drama,Action,Crime
lakshya,23,30,U,18-Jun-04,186,Farhan Akhtar,Farhan Akhtar,Hrithik Roshan,Amitabh Bachchan,Preity Zinta,War,Drama,Romance
neerja,71,28,U,19-Feb-16,122,Ram Madhvani,Atul Kasbekar,Sonam Kapoor,Amit Lekhwani,Shabana Azmi,Biography,Drama,Thriller
jodhaa-akbar,56,55,U/A,13-Feb-08,212,Ashutosh Gowariker,Ashutosh Gowariker,Aishwarya Rai Bachchan,Hrithik Roshan,Amitabh Bachchan,Action,Adventure,Biography
guru4,45,22,U,12-Jan-07,166,Mani Ratnam,Mani Ratnam,Aishwarya Rai Bachchan,Vidya Balan,R Madhavan,Biography,Drama,Musical
piku,141,25,U/A,7-May-15,125,Shoojit Sircar,Np Singh,Deepika Padukone,Irrfan Khan,Amitabh Bachchan,Comedy,Drama,NA
kapoor-sons,69,38,U/A,17-Mar-16,140,Shakun Batra,,Sidharth Malhotra,Fawad Afzal Khan,Alia Bhatt,Comedy,Drama,Romance
kai-po-che,92,25,U,22-Feb-13,126,Abhishek Kapoor,Ronnie Screwvala,Sushant Singh Rajput,Rajkummar Rao,Tahir Raj Bhasin,Drama,Sport,NA
badla2,87,37,U/A,8-Mar-19,120,Sujoy Ghosh,,Amitabh Bachchan,Shah Rukh Khan,Taapsee Pannu,Thriller,Crime,Drama
mumbai-meri-jaan,3,3,U/A,22-Aug-08,134,Nishikant Kamat,Rucha Pathak,R Madhavan,Irrfan Khan,Vibhawari Deshpande,Drama,NA,NA
english-vinglish,38,26,U,5-Oct-12,135,Gauri Shinde,Sunil Lulla,Priya Anand,Ajith Kumar,Amitabh Bachchan,Comedy,Drama,Family
kuch-kuch-hota-hai,46,10,U,16-Oct-98,185,Karan Johar,Yash Johar,Rani Mukerji,Kajol Devgn,Salman Khan,Comedy,Drama,Musical
the-lunchbox,20,22,U,27-Mar-14,104,Ritesh Batra,Anurag Kashyap,Irrfan Khan,Irrfan Khan,Nimrat Kaur,Drama,Romance,NA
aligarh,2,11,A,26-Feb-16,120,Hansal Mehta,Sunil Lulla,Sukhesh Arora,Balaji Gauri,Manoj Bajpayee,Biography,Drama,NA
hindi-medium,63,23,U,18-May-17,133,Saket Chaudhary,Bhushan Kumar,Irrfan Khan,Saba Qamar,Deepak Dobriyal,Comedy,Drama,NA
stanley-ka-dabba,5,4,U,13-May-11,96,Amole Gupte,Amole Gupte,Partho A. Gupte,Numaan Sheikh,Abhishek Reddy,Comedy,Drama,Family
kabhi-khushi-kabhie-gham1,55,40,U,14-Dec-01,210,Karan Johar,Yash Johar,Rani Mukerji,Hrithik Roshan,Amitabh Bachchan,Drama,Musical,Romance
hum-aapke-hain-koun,72,6,U,5-Aug-94,206,Sooraj R. Barjatya,Ajit Kumar Barjatya,Sooraj R. Barjatya,Madhuri Dixit,Salman Khan,Comedy,Drama,Musical
hum-dil-de-chuke-sanam,24,16,U,18-Jun-99,177,Sanjay Leela Bhansali,Sanjay Leela Bhansali,Aishwarya Rai Bachchan,Ajay Devgan,Salman Khan,Comedy,Drama,Musical
stree,124,24,U/A,30-Aug-18,129,Amar Kaushik,Dinesh Vijan,Amar Kaushik,Kriti Sanon,Shraddha Kapoor,Comedy,Drama,Horror
