Movie,Box_office,Certificate,Release_Data,Run_time,Budget,Genre,Director,Producer,Lead_Actor1,Lead_Actor2,Lead_Actor3
sanju,    334 Crores, U/A (INDIA),12-Apr-19, 2 HOURS  41 MINUTES,₹ 96 CRORES,"Biography, Drama",Rajkumar Hirani,Rajkumar Hirani,Anushka Sharma,Sonam Kapoor,Ranbir Kapoor
3-idiots,    201 Crores, U/A (INDIA),24-Dec-09, 2 HOURS  51 MINUTES,₹ 77 CRORES,"Adventure, Comedy, Drama, Romance",Rajkumar Hirani,Vidhu Vinod Chopra,Aamir Khan,R Madhavan,Kareena Kapoor Khan
dangal,    374 Crores,,,,,,Nitesh Tiwari,Aamir Khan,Aamir Khan,Sanya Malhotra,Zaira Wasim
black-friday,    4 Crores,,9-Feb-07, 2 HOURS  23 MINUTES,₹ 4 CRORES,"Action, Crime, Drama, History, Thriller",Anurag Kashyap,Arindam Mitra,Kay Kay Menon,Nawazuddin Siddiqui,Kishore Kadam
andhadhun,    73 Crores, U/A (INDIA),5-Oct-18, 2 HOURS  19 MINUTES,₹ 32 CRORES,"Comedy, Romance, Thriller, Drama, Mystery, Crime",Sriram Raghavan,Sanjay Routray,Tabu Hashmi,Ayushmann Khurrana,Radhika Apte
taare-zameen-par,    61 Crores,,,,,,Aamir Khan,Aamir Khan,Aamir Khan,Abhishek Bachchan,Gurkirtan Chauhan
chak-de-india,    109 Crores,,,,,,Shimit Amin,Aditya Chopra,Shah Rukh Khan,Sagarika Ghatge,Arya Menon
rang-de-basanti,    53 Crores, U/A (INDIA),26-Jan-06, 2 HOURS  51 MINUTES,₹ 28 CRORES,"Comedy, Drama, History, Romance",Rakeysh Omprakash Mehra,David Reid,Aamir Khan,Siddharth Narayan,R Madhavan
bhaag-milkha-bhaag,    109 Crores, U (INDIA),11-Jul-13, 3 HOURS  7 MINUTES,₹ 53 CRORES,"Biography, Drama, History, Sport",Rakeysh Omprakash Mehra,Rakeysh Omprakash Mehra,Sonam Kapoor,Prakash Raj,Farhan Akhtar
queen,    61 Crores,,,,,,Vikas Bahl,Anurag Kashyap,Kangana Ranaut,Jeffrey Ho,Rajkummar Rao
